Date,Open,High,Low,Close,Volume,Adj Close
2014-03-25,4722.00,4749.90,4707.00,4720.10,20800,4580.62
2014-03-24,4780.00,4794.80,4706.00,4721.30,23600,4581.79
2014-03-21,4820.00,4865.00,4720.00,4731.40,32600,4591.59
2014-03-20,4846.00,4846.00,4805.25,4825.35,11400,4682.76
2014-03-19,4809.80,4857.50,4800.10,4820.50,27100,4678.05
2014-03-18,4815.00,4900.00,4711.60,4791.20,31700,4649.62
2014-03-17,4758.65,4758.65,4758.65,4758.65,000,4618.03
2014-03-14,4796.80,4796.80,4712.00,4758.65,33500,4618.03
2014-03-13,4801.20,4816.95,4750.00,4786.00,22000,4644.57
2014-03-12,4809.80,4819.45,4780.00,4794.40,16700,4652.73
2014-03-11,4875.00,4875.00,4762.50,4798.80,12600,4657.00
2014-03-10,4920.00,4929.00,4763.00,4800.50,31000,4658.65
2014-03-07,4873.40,4930.00,4856.75,4910.90,47800,4765.78
2014-03-06,4775.00,4885.00,4775.00,4863.40,26700,4719.69
2014-03-05,4735.00,4824.95,4715.00,4777.05,33000,4635.89
2014-03-04,4675.00,4720.00,4647.00,4710.50,30400,4571.30
2014-03-03,4861.00,4875.10,4632.00,4656.90,58900,4519.29
2014-02-28,4982.10,5013.55,4774.85,4864.50,849000,4720.75
2014-02-27,4998.80,4998.80,4998.80,4998.80,000,4851.09
2014-02-26,4965.00,5023.90,4965.00,4998.80,107400,4851.09
2014-02-25,5015.00,5043.90,4980.10,5000.65,65200,4852.88
2014-02-24,5022.00,5064.95,5009.95,5043.20,98300,4894.17
2014-02-21,5012.00,5080.00,5012.00,5057.25,30500,4907.81
2014-02-20,5033.00,5063.70,5031.05,5043.40,43400,4894.37
2014-02-19,5034.40,5080.05,5028.80,5058.10,12100,4908.63
2014-02-18,4965.00,5047.00,4965.00,5024.75,11200,4876.27
2014-02-17,5000.00,5084.70,4950.00,5004.30,80100,4856.42
2014-02-14,5085.00,5140.00,5050.00,5082.85,20000,4932.65
2014-02-13,5100.00,5198.00,5075.05,5098.85,46900,4948.18
2014-02-12,5023.00,5115.00,5023.00,5055.40,58500,4906.01
2014-02-11,5005.30,5134.55,5005.30,5057.90,21300,4908.44
2014-02-10,5000.00,5041.00,4986.05,5034.55,13300,4885.78
2014-02-07,5000.00,5040.00,5000.00,5016.25,31800,4868.02
2014-02-06,4985.30,5029.75,4980.10,4999.55,23300,4851.81
2014-02-05,4962.00,5038.90,4960.00,5013.15,27900,4865.01
2014-02-04,4920.00,5010.75,4920.00,4960.45,19800,4813.87
2014-02-03,4993.00,5047.30,4920.00,4938.65,20500,4792.71
2014-01-31,5039.00,5091.00,4902.40,5047.15,36700,4898.01
2014-01-30,5010.00,5033.20,4925.00,4945.80,22700,4799.65
2014-01-29,4990.00,5041.00,4962.00,5033.20,23100,4884.47
2014-01-28,5050.00,5059.15,4950.00,4959.35,16800,4812.80
2014-01-27,5066.00,5121.00,5021.00,5050.10,13500,4900.87
2014-01-24,5083.55,5123.00,5068.00,5081.20,35900,4931.05
2014-01-23,5190.00,5190.00,5075.00,5083.55,45000,4933.33
2014-01-22,5175.00,5175.15,5135.00,5144.80,15900,4992.77
2014-01-21,5200.90,5202.00,5150.00,5177.25,8000,5024.26
2014-01-20,5224.00,5229.00,5181.80,5200.90,8900,5047.21
2014-01-17,5150.00,5265.00,5150.00,5238.05,24500,5083.27
2014-01-16,5260.00,5320.00,5125.00,5130.35,25100,4978.75
2014-01-15,5360.00,5400.00,5215.00,5237.15,27600,5082.39
2014-01-14,5410.00,5414.95,5351.00,5379.45,16900,5220.49
2014-01-13,5440.00,5447.95,5380.00,5426.90,17300,5266.53
2014-01-10,5390.00,5450.00,5351.00,5405.95,29400,5246.20
2014-01-09,5425.00,5435.00,5365.00,5372.85,8200,5214.08
2014-01-08,5394.90,5427.90,5379.90,5422.40,20000,5262.17
2014-01-07,5413.95,5440.00,5365.00,5381.90,19600,5222.86
2014-01-06,5376.00,5444.00,5340.00,5387.65,25200,5228.44
2014-01-03,5365.00,5600.00,5311.00,5333.60,91100,5175.99
2014-01-02,5325.75,5354.00,5193.95,5280.15,25900,5124.12
2014-01-01,5290.00,5343.00,5290.00,5311.80,6300,5154.84
2013-12-31,5351.00,5382.00,5260.00,5289.25,11500,5132.95
2013-12-30,5340.00,5395.00,5331.00,5349.55,15300,5191.47
2013-12-27,5373.00,5450.25,5328.00,5339.25,9300,5181.48
2013-12-26,5411.00,5443.70,5350.00,5363.45,12000,5204.96
2013-12-25,5399.25,5399.25,5399.25,5399.25,000,5239.70
2013-12-24,5520.00,5545.00,5370.95,5399.25,27100,5239.70
2013-12-23,5498.00,5545.00,5400.00,5504.70,54600,5342.04
2013-12-20,5282.00,5530.00,5282.00,5464.20,54100,5302.73
